competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"D1 F 95","28621","s-3341","US EZANVILLE / ECOUEN HB","UNION SPORTIVE EZANVILLE / ECOUEN HANDBALL","UNION SPORTIVE SAINT-HILAIRE HANDBALL","3a10c3a7-3dec-4dcf-afd6-066f247ea1b7","CONFIRMER_OU_CORRIGER"
"D1 M 93","28654","s-3143","NOISY-LE-GRAND HANDBALL 1B","NOISY-LE-GRAND HANDBALL","NOISY-LE-GRAND HANDBALL","ec6ed891-4c92-423c-95e1-c7f699ad341b","CONFIRMER_OU_CORRIGER"
"D1 M 93","28654","s-3152","NEUILLY-PLAISANCE SPORTS 1B","NEUILLY-PLAISANCE SPORTS","NEUILLY-PLAISANCE SPORTS","0a066b66-5eab-4b16-8e68-9ff8aea8d304","CONFIRMER_OU_CORRIGER"
"D1 M 93","28654","s-3155","STADE OLYMPIQUE ROSNY-SOUS-BOIS 1B","STADE OLYMPIQUE ROSNY-SOUS-BOIS","STADE OLYMPIQUE ROSNY-SOUS-BOIS","89608385-64fd-46d7-8a07-a94b8e1904ed","CONFIRMER_OU_CORRIGER"
"D1 M 93","28654","s-3163","LILAS-PRE HANDBALL","LILAS-PRE HANDBALL","","","A_REMPLIR"
"D2 M 93","28656","s-3140","HANDBALL CLUB DE GAGNY 1B","HANDBALL CLUB DE GAGNY","HANDBALL CLUB DE GAGNY","d486b260-683a-424a-aab0-b6ce2da6cad5","CONFIRMER_OU_CORRIGER"
"D2 M 93","28656","s-3147","ATHLETIC CLUB DE BOBIGNY 1B","ATHLETIC CLUB DE BOBIGNY","ATHLETIC CLUB DE BOBIGNY","870a4b39-3838-42f4-af96-fefcfccfbbfa","CONFIRMER_OU_CORRIGER"
"D2 M 93","28656","s-3163","LILAS-PRE HANDBALL 1B","LILAS-PRE HANDBALL","","","A_REMPLIR"
"D1 F 93","28651","s-3139","ENT. BONDY / BLANC-MESNIL 1B (+16F)","ENTENTE BONDY / BLANC-MESNIL","","","A_REMPLIR"
"D1 F 93","28651","s-3140","HANDBALL CLUB DE GAGNY 1C","HANDBALL CLUB DE GAGNY","HANDBALL CLUB DE GAGNY","d486b260-683a-424a-aab0-b6ce2da6cad5","CONFIRMER_OU_CORRIGER"
"D1 F 93","28651","s-3143","NOISY-LE-GRAND HANDBALL 1D","NOISY-LE-GRAND HANDBALL","NOISY-LE-GRAND HANDBALL","ec6ed891-4c92-423c-95e1-c7f699ad341b","CONFIRMER_OU_CORRIGER"
"D1 F 93","28651","s-3147","ATHLETIC CLUB DE BOBIGNY 1B","ATHLETIC CLUB DE BOBIGNY","ATHLETIC CLUB DE BOBIGNY","870a4b39-3838-42f4-af96-fefcfccfbbfa","CONFIRMER_OU_CORRIGER"
"D1 F 93","28651","s-3163","LILAS-PRE HANDBALL","LILAS-PRE HANDBALL","","","A_REMPLIR"
"D1 M 92","28784","s-3207","STADE FRANCAIS","STADE FRANCAIS","STADE FRANCAIS HANDBALL","7c67ca25-6964-495c-8b67-a7867e9f5c31","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3211","PARIS SC 1C","PARIS SPORTING CLUB","PARIS UNIVERSITE CLUB","def475ad-604b-4d47-a702-b44b26fb82a6","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3302","AC BOULOGNE-BILLANCOURT 1C","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB LA CIOTAT","aa53f308-dc4c-499b-a23b-cada58847bd5","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3303","ES COLOMBIENNE 1B","ES COLOMBIENNE","ETOILE SPORTIVE COLOMBIENNE HANDBALL","2909a82a-131a-4e50-8dce-8b84b9d96c85","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3304","ASV CHATENAY-MALABRY 1B","ASV CHATENAY-MALABRY","ASSOCIATION SPORTIVE VOLTAIRE CHATENAY-MALABRY","a400c3eb-4581-45e1-bbae-edc02ac2862e","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3306","COM BAGNEUX","COMITE OMNISPORTS BAGNEUX","","","A_REMPLIR"
