competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"D1 M 78","28458","s-3220","TEAM 2 RIVES DE SEINE (+16M1)","TEAM 2 RIVES DE SEINE","","","A_REMPLIR"
"D1 M 78","28458","s-3225","ENT. BUC - GUYANCOURT (+16M1)","ENTENTE BUC - GUYANCOURT","ENTENTE ALENCON ST GERMAIN","17395deb-4ff7-4e7d-ba4c-0f0e01db3abc","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3226","CELLOIS / LOUVECIENNES (+16M1)","CELLOIS / LOUVECIENNES","CELLOIS HANDBALL","64ebec53-a4ba-4625-bf42-a9e780365a5a","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3229","AS ST-CYR/FONTENAY HB 78","ASSOCIATION SPORTIVE ST-CYR/FONTENAY HANDBALL","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES HANDBALL","af9cb688-5bd0-4229-b26c-b1bc0eaa98b6","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3234","USC MAISONS-LAFFITTE HB (2)","USC MAISONS-LAFFITTE HANDBALL","UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB","738fb764-84d0-4ca9-b9e4-08e5703a04cd","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3236","AS MONTIGNY-LE-BTX HB","ASSOCIATION SPORTIVE MONTIGNY-LE-BTX HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3237","PLAISIR - LES CLAYES HB (2)","PLAISIR - LES CLAYES HANDBALL","","","A_REMPLIR"
"D1 M 78","28458","s-3245","HB BOUCLE DE SEINE 78 (2)","HANDBALL BOUCLE DE SEINE","HANDBALL BOUCLE DE SEINE 78","dffe11dd-216d-4e89-b633-ffc700f1050a","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3248","TS VICINOIS 88 HB","TS VICINOIS 88 HANDBALL","TEAM SPORT VICINOIS 88 HB","95dbc54d-99be-4261-81ce-b5f8c56d2cf5","CONFIRMER_OU_CORRIGER"
"D1 M 78","28458","s-3256","ASC TRAPPES","ASC TRAPPES","ASSOCIATION SPORTIVE ET CULTURELLE DE TRAPPES","d71e760b-a114-449e-9fed-23074073f984","CONFIRMER_OU_CORRIGER"
"D2 M 78","28459","s-3227","LE CHESNAY 78 HB (3)","LE CHESNAY 78 HANDBALL","LE CHESNAY YVELINES HANDBALL","34bcfc51-71cc-4765-a9a8-80f44aff410f","CONFIRMER_OU_CORRIGER"
"D2 M 78","28459","s-3235","ELANCOURT-MAUREPAS HB +16M.1","ELANCOURT-MAUREPAS HB.1","ELANCOURT-MAUREPAS HANDBALL","89123e67-c9e4-4cb2-a148-db86030eaa78","CONFIRMER_OU_CORRIGER"
"D2 M 78","28459","s-3238","AS POISSY HB (2)","ASSOCIATION SPORTIVE POISSY HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D2 M 78","28459","s-3245","HB BOUCLE DE SEINE 78 (3)","HANDBALL BOUCLE DE SEINE","HANDBALL BOUCLE DE SEINE 78","dffe11dd-216d-4e89-b633-ffc700f1050a","CONFIRMER_OU_CORRIGER"
"D2 M 78","28459","s-3246","TEAM 2 RIVES DE SEINE (+16M2)","TEAM 2 RIVES DE SEINE","","","A_REMPLIR"
"D2 M 78","28459","s-3256","ASC TRAPPES (2)","ASC TRAPPES","ASSOCIATION SPORTIVE ET CULTURELLE DE TRAPPES","d71e760b-a114-449e-9fed-23074073f984","CONFIRMER_OU_CORRIGER"
"D2 M 78","28459","s-3258","AS SARTROUVILLE HB","ASSOCIATION SPORTIVE SARTROUVILLE HANDBALL","ASSOCIATION SPORTIVE DE SARTROUVILLE HANDBALL","3494e729-4298-41fa-9f2d-911e78badea8","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3219","CA MANTES LA VILLE / HBC ROSNY (+16M1)","CLUB ATHLETIQUE MANTES LA VILLE / HANDBALL CLUB ROSNY","","","A_REMPLIR"
"D3 M 78","28460","s-3220","TEAM 2 RIVES DE SEINE (+16M3)","TEAM 2 RIVES DE SEINE","","","A_REMPLIR"
"D3 M 78","28460","s-3221","HBC LES LIONS DE LA MAULDRE (3)","HANDBALL CLUB LES LIONS DE LA MAULDRE","HBC LES LIONS DE LA MAULDRE","81ed6194-828a-4d90-82fd-8813ad06842d","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3226","CELLOIS / LOUVECIENNES (+16M2)","CELLOIS / LOUVECIENNES","CELLOIS HANDBALL","64ebec53-a4ba-4625-bf42-a9e780365a5a","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3229","AS ST-CYR/FONTENAY HB 78 (2)","ASSOCIATION SPORTIVE ST-CYR/FONTENAY HANDBALL","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES HANDBALL","af9cb688-5bd0-4229-b26c-b1bc0eaa98b6","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3230","CO GARGENVILLE","CO GARGENVILLE","CLUB OMNISPORT DE GARGENVILLE","3ae9de1c-ebf8-4578-b358-9a7736dd1a15","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3234","USC MAISONS-LAFFITTE HB (3)","USC MAISONS-LAFFITTE HANDBALL","UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB","738fb764-84d0-4ca9-b9e4-08e5703a04cd","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3236","AS MONTIGNY-LE-BTX HB (2)","ASSOCIATION SPORTIVE MONTIGNY-LE-BTX HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3237","PLAISIR - LES CLAYES HB (3)","PLAISIR - LES CLAYES HANDBALL","","","A_REMPLIR"
"D3 M 78","28460","s-3243","ES PERRAY HB","ES PERRAY HANDBALL","ENTENTE SPORTIVE DU PERRAY HANDBALL","cd98240b-9151-4390-b047-edfefd86a462","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3245","HB BOUCLE DE SEINE 78 (4)","HANDBALL BOUCLE DE SEINE","HANDBALL BOUCLE DE SEINE 78","dffe11dd-216d-4e89-b633-ffc700f1050a","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3246","TEAM 2 RIVES DE SEINE (+16M4)","TEAM 2 RIVES DE SEINE","","","A_REMPLIR"
"D3 M 78","28460","s-3248","TS VICINOIS 88 HB (2)","TS VICINOIS 88 HANDBALL","TEAM SPORT VICINOIS 88 HB","95dbc54d-99be-4261-81ce-b5f8c56d2cf5","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3251","ENT. GUYANCOURT - BUC (+16M2)","ENTENTE GUYANCOURT - BUC","ENTENTE ALENCON ST GERMAIN","17395deb-4ff7-4e7d-ba4c-0f0e01db3abc","CONFIRMER_OU_CORRIGER"
"D3 M 78","28460","s-3258","AS SARTROUVILLE HB (2)","ASSOCIATION SPORTIVE SARTROUVILLE HANDBALL","ASSOCIATION SPORTIVE DE SARTROUVILLE HANDBALL","3494e729-4298-41fa-9f2d-911e78badea8","CONFIRMER_OU_CORRIGER"
"D1 F 78","28455","s-3220","HB SEINE ET OISE (+16F1)","HANDBALL SEINE ET OISE","","","A_REMPLIR"
"D1 F 78","28455","s-3229","AS ST-CYR/FONTENAY HB 78","ASSOCIATION SPORTIVE ST-CYR/FONTENAY HANDBALL","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES HANDBALL","af9cb688-5bd0-4229-b26c-b1bc0eaa98b6","CONFIRMER_OU_CORRIGER"
"D1 F 78","28455","s-3236","ST QUENTIN EN YVELINES HB (+16F2)","ST QUENTIN EN YVELINES HANDBALL","","","A_REMPLIR"
"D1 F 78","28455","s-3237","PLAISIR - LES CLAYES HB","PLAISIR - LES CLAYES HANDBALL","","","A_REMPLIR"
"D1 F 78","28455","s-3238","AS POISSY HB","ASSOCIATION SPORTIVE POISSY HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D1 F 78","28455","s-3243","LE PECQ ENTENTE SAINT GERMAIN (+16F)","LE PECQ ENTENTE SAINT GERMAIN","","","A_REMPLIR"
"D1 F 78","28455","s-3244","LE PECQ ENTENTE SAINT GERMAIN (+16F)","LE PECQ ENTENTE SAINT GERMAIN","","","A_REMPLIR"
"D1 F 78","28455","s-3245","HB BOUCLE DE SEINE 78 (2)","HANDBALL BOUCLE DE SEINE","HANDBALL BOUCLE DE SEINE 78","dffe11dd-216d-4e89-b633-ffc700f1050a","CONFIRMER_OU_CORRIGER"
"D1 F 78","28455","s-3248","TS VICINOIS 88 HB","TS VICINOIS 88 HANDBALL","TEAM SPORT VICINOIS 88 HB","95dbc54d-99be-4261-81ce-b5f8c56d2cf5","CONFIRMER_OU_CORRIGER"
"D2 F 78","28457","s-3220","HB SEINE ET OISE (2)","HANDBALL SEINE ET OISE","","","A_REMPLIR"
"D2 F 78","28457","s-3221","HBC LES LIONS DE LA MAULDRE (2)","HANDBALL CLUB LES LIONS DE LA MAULDRE","HBC LES LIONS DE LA MAULDRE","81ed6194-828a-4d90-82fd-8813ad06842d","CONFIRMER_OU_CORRIGER"
"D2 F 78","28457","s-3230","GARGENVILLE / LIMAY (+16F)","GARGENVILLE / LIMAY","CLUB OMNISPORT DE GARGENVILLE","3ae9de1c-ebf8-4578-b358-9a7736dd1a15","CONFIRMER_OU_CORRIGER"
"D2 F 78","28457","s-3234","USC MAISONS-LAFFITTE HB","USC MAISONS-LAFFITTE HANDBALL","UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB","738fb764-84d0-4ca9-b9e4-08e5703a04cd","CONFIRMER_OU_CORRIGER"
"D2 F 78","28457","s-3235","SUD YVELINES HB (+16F2)","SUD YVELINES HANDBALL","LE CHESNAY YVELINES HANDBALL","34bcfc51-71cc-4765-a9a8-80f44aff410f","CONFIRMER_OU_CORRIGER"
"D2 F 78","28457","s-3238","AS POISSY HB (2)","ASSOCIATION SPORTIVE POISSY HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D2 F 78","28457","s-3243","SUD YVELINES HB (+16F2)","SUD YVELINES HANDBALL","LE CHESNAY YVELINES HANDBALL","34bcfc51-71cc-4765-a9a8-80f44aff410f","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3105","COULOMMIERS 1","COULOMMIERS","COULOMMIERS BRIE HANDBALL","0440f6d1-1058-43b9-a719-a79447a1ede4","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3106","LA GRANDE PAROISSE 1","LA GRANDE PAROISSE","UNION SPORTIVE DE LA GRANDE PAROISSE","d1530c44-230a-4f06-ac1f-fc26de6df842","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3111","MONTEREAU 2","MONTEREAU","","","A_REMPLIR"
"D1 M 77","27914","s-3112","NANGIS 1","NANGIS","HANDBALL CLUB NANGIS","f1489f4b-753a-4045-b3a7-83288358a00b","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3113","PONTAULT-COMBAULT 3","PONTAULT-COMBAULT","PONTAULT-COMBAULT HANDBALL","33b8f1ac-cd70-4732-a344-b78b216cebcd","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3115","TORCY 3","TORCY","TORCY HANDBALL MARNE-LA-VALLEE","0e5ea4bf-eb34-487c-8202-b582c7b82938","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3121","PONTHIERRY 2","PONTHIERRY","","","A_REMPLIR"
"D1 M 77","27914","s-3124","CESSON 1","CESSON","CESSON VERT ST-DENIS HANDBALL","1cd4d2d8-42bd-4558-9b24-7691a37e8d45","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3128","JOUARRE 1","JOUARRE","ASM JOUARRE","cab45e6d-eb35-4fb2-9981-b16aafdc705d","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3129","LA THEROUANNE","LA THEROUANNE","HBC LA THEROUANNE","d134ea76-d4cd-4e32-bb1b-4126622bde9f","CONFIRMER_OU_CORRIGER"
"D1 M 77","27914","s-3135","OURCQ","OURCQ","OURCQ HANDBALL CLUB","c55aabb7-b816-4981-9c38-1a2e5d6bf598","CONFIRMER_OU_CORRIGER"
"D2 M 77","27915","s-3104","CLAYE-SOUILLY 2","CLAYE-SOUILLY","","","A_REMPLIR"
"D2 M 77","27915","s-3107","LAGNY MONTEVRAIN 3","LAGNY MONTEVRAIN","","","A_REMPLIR"
"D2 M 77","27915","s-3108","MEAUX 2","MEAUX","CS MEAUX HANDBALL","a6fc7d49-f390-4b12-ab52-7fb4063b8226","CONFIRMER_OU_CORRIGER"
"D2 M 77","27915","s-3116","VAIRES 2","VAIRES","UNION SPORTIVE VAIRES ENTRETIEN ET COMPETITION","ae1eb6f3-2c35-498a-b993-7bd5a87ffa2c","CONFIRMER_OU_CORRIGER"
"D2 M 77","27915","s-3118","GRETZ TOURNAN","GRETZ TOURNAN","SC GRETZ TOURNAN HB","071a6eeb-65ef-4a51-bc76-dbe2b963fcb8","CONFIRMER_OU_CORRIGER"
"D2 M 77","27915","s-3126","FONTENAY-TRESIGNY 1","FONTENAY-TRESIGNY","FONTENAY-TRESIGNY HANDBALL","42be742f-0141-4104-99fd-02cbe146d466","CONFIRMER_OU_CORRIGER"
"D2 M 77","27915","s-3130","CHAMPS SUR MARNE","CHAMPS SUR MARNE","","","A_REMPLIR"
"D2 M 77","27915","s-3133","QUINCY-VOISINS 1","QUINCY-VOISINS","CS QUINCY-VOISINS HANDBALL","0371be78-43ca-4d93-8e89-3ef6b17d3d8a","CONFIRMER_OU_CORRIGER"
"D2 M 77","27915","s-3137","SENART 2","SENART","SENART AGGLOMERATION HANDBALL","5333156b-12b4-4f43-9292-7ab481ed8677","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3102","LE MEE 2","LE MEE","LE MEE SPORTS HANDBALL","48940f47-095d-41d6-b176-6096f434fc1c","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3103","CHELLES 2","CHELLES","AS CHELLES HANDBALL","8a5e0e90-a2fb-4c08-8fb2-bf7857744e83","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3105","COULOMMIERS 2","COULOMMIERS","COULOMMIERS BRIE HANDBALL","0440f6d1-1058-43b9-a719-a79447a1ede4","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3106","LA GRANDE PAROISSE 2","LA GRANDE PAROISSE","UNION SPORTIVE DE LA GRANDE PAROISSE","d1530c44-230a-4f06-ac1f-fc26de6df842","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3111","MONTEREAU 3","MONTEREAU","","","A_REMPLIR"
"D3 M 77","27916","s-3112","NANGIS 2","NANGIS","HANDBALL CLUB NANGIS","f1489f4b-753a-4045-b3a7-83288358a00b","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3114","ROISSY-OZOIR 1","ROISSY-OZOIR","ENTENTE ROISSY-OZOIR","fd7eea41-1302-4d60-b154-a612cb80e6af","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3117","VILLEPARISIS 2","VILLEPARISIS","USM VILLEPARISIS","525ca874-10b8-469b-a128-468144c98606","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3121","PONTHIERRY 3","PONTHIERRY","","","A_REMPLIR"
"D3 M 77","27916","s-3123","CHATELET-EN-BRIE","CHATELET-EN-BRIE","UNION SPORTIVE DU CHATELET-EN-BRIE","c0be7bad-b2f1-4ded-b07a-2911c677744c","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3124","CESSON 2","CESSON","CESSON VERT ST-DENIS HANDBALL","1cd4d2d8-42bd-4558-9b24-7691a37e8d45","CONFIRMER_OU_CORRIGER"
"D3 M 77","27916","s-3137","SENART 3","SENART","SENART AGGLOMERATION HANDBALL","5333156b-12b4-4f43-9292-7ab481ed8677","CONFIRMER_OU_CORRIGER"
"D4 M 77","27917","s-3100","BAGNEAUX","BAGNEAUX","","","A_REMPLIR"
"D4 M 77","27917","s-3106","LA GRANDE PAROISSE 3","LA GRANDE PAROISSE","UNION SPORTIVE DE LA GRANDE PAROISSE","d1530c44-230a-4f06-ac1f-fc26de6df842","CONFIRMER_OU_CORRIGER"
"D4 M 77","27917","s-3109","MELUN DAMMARIE 2","MELUN DAMMARIE","UNION SPORTIVE MELUN DAMMARIE","dd45b2f3-523e-4a80-8a09-a3f6949112ab","CONFIRMER_OU_CORRIGER"
"D4 M 77","27917","s-3111","ENTENTE MONTEREAU 4 - CANNES ECLUSE","ENTENTE MONTEREAU 4 - CANNES ECLUSE","","","A_REMPLIR"
"D4 M 77","27917","s-3114","ROISSY-OZOIR 2","ROISSY-OZOIR","ENTENTE ROISSY-OZOIR","fd7eea41-1302-4d60-b154-a612cb80e6af","CONFIRMER_OU_CORRIGER"
"D4 M 77","27917","s-3126","FONTENAY-TRESIGNY 2","FONTENAY-TRESIGNY","FONTENAY-TRESIGNY HANDBALL","42be742f-0141-4104-99fd-02cbe146d466","CONFIRMER_OU_CORRIGER"
"D4 M 77","27917","s-3133","QUINCY-VOISINS 2","QUINCY-VOISINS","CS QUINCY-VOISINS HANDBALL","0371be78-43ca-4d93-8e89-3ef6b17d3d8a","CONFIRMER_OU_CORRIGER"
"D4 M 77","27917","s-3138","MAROLLES","MAROLLES","MAROLLES HANDBALL","4e63c888-d994-456b-aeb2-a91c699bea0d","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3103","CHELLES","CHELLES","AS CHELLES HANDBALL","8a5e0e90-a2fb-4c08-8fb2-bf7857744e83","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3106","LA GRANDE PAROISSE 1","LA GRANDE PAROISSE","UNION SPORTIVE DE LA GRANDE PAROISSE","d1530c44-230a-4f06-ac1f-fc26de6df842","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3108","MEAUX","MEAUX","CS MEAUX HANDBALL","a6fc7d49-f390-4b12-ab52-7fb4063b8226","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3110","MITRY-MORY","MITRY-MORY","","","A_REMPLIR"
"D1 F 77","27918","s-3112","ENT. NANGIS / MONTEREAU 77 2","ENTENTE NANGIS / MONTEREAU 77","","","A_REMPLIR"
"D1 F 77","27918","s-3113","PONTAULT-COMBAULT","PONTAULT-COMBAULT","PONTAULT-COMBAULT HANDBALL","33b8f1ac-cd70-4732-a344-b78b216cebcd","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3116","VAIRES","VAIRES","UNION SPORTIVE VAIRES ENTRETIEN ET COMPETITION","ae1eb6f3-2c35-498a-b993-7bd5a87ffa2c","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3117","VILLEPARISIS","VILLEPARISIS","USM VILLEPARISIS","525ca874-10b8-469b-a128-468144c98606","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3124","ENT. CESSON / MELUN DAMMARIE / LE MEE 1 ET 2","ENTENTE CESSON / MELUN DAMMARIE / LE MEE 1 ET","","","A_REMPLIR"
"D1 F 77","27918","s-3126","CHELLES","CHELLES","AS CHELLES HANDBALL","8a5e0e90-a2fb-4c08-8fb2-bf7857744e83","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3128","JOUARRE","JOUARRE","ASM JOUARRE","cab45e6d-eb35-4fb2-9981-b16aafdc705d","CONFIRMER_OU_CORRIGER"
"D1 F 77","27918","s-3137","SENART 1","SENART","SENART AGGLOMERATION HANDBALL","5333156b-12b4-4f43-9292-7ab481ed8677","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3103","CHELLES 2","CHELLES","AS CHELLES HANDBALL","8a5e0e90-a2fb-4c08-8fb2-bf7857744e83","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3105","COULOMMIERS 2","COULOMMIERS","COULOMMIERS BRIE HANDBALL","0440f6d1-1058-43b9-a719-a79447a1ede4","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3106","LA GRANDE PAROISSE 2","LA GRANDE PAROISSE","UNION SPORTIVE DE LA GRANDE PAROISSE","d1530c44-230a-4f06-ac1f-fc26de6df842","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3114","ROISSY-OZOIR 2","ROISSY-OZOIR","ENTENTE ROISSY-OZOIR","fd7eea41-1302-4d60-b154-a612cb80e6af","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3117","VILLEPARISIS 2","VILLEPARISIS","USM VILLEPARISIS","525ca874-10b8-469b-a128-468144c98606","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3121","PONTHIERRY 2","PONTHIERRY","","","A_REMPLIR"
"D2 F 77","27919","s-3127","NOISIEL 2","NOISIEL","HAND BALL CLUB DE NOISIEL","d84d1059-556a-4cad-9d99-442bb970c09f","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3129","LA THEROUANNE","LA THEROUANNE","HBC LA THEROUANNE","d134ea76-d4cd-4e32-bb1b-4126622bde9f","CONFIRMER_OU_CORRIGER"
"D2 F 77","27919","s-3137","SENART 2","SENART","SENART AGGLOMERATION HANDBALL","5333156b-12b4-4f43-9292-7ab481ed8677","CONFIRMER_OU_CORRIGER"
