competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action,club_id_final
U18f Delayages Accession Regionale,32248,s-3307,BOIS-COLOMBES SP.,BOIS-COLOMBES SP.,BOIS-COLOMBES SPORTS HANDBALL,f854b6a6-d12a-4e57-bdba-29c429a0c849,CONFIRMER_OU_CORRIGER,f854b6a6-d12a-4e57-bdba-29c429a0c849
Nationale 1 Masculine 2026 2027,32469,s-2136,CAVIGAL NICE SPORTS HANDBALL,CAVIGAL NICE SPORTS HANDBALL,,,A_REMPLIR,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-1866,CESSON RENNES METROPOLE,CESSON RENNES METROPOLE,CESSON RENNES METROPOLE HB,fe69c1cd-5704-4712-bb51-3ece55c1ccc0,CONFIRMER_OU_CORRIGER,fe69c1cd-5704-4712-bb51-3ece55c1ccc0
Daikin Starligue 2026 27,32372,s-2252,CHAMBERY SAVOIE MB,CHAMBERY SAVOIE MB,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,4d19e820-0cac-4998-8cf8-56d5503a62fa,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-3214,CHAMBERY SAVOIE MB,CHAMBERY SAVOIE MB,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,4d19e820-0cac-4998-8cf8-56d5503a62fa,CONFIRMER_OU_CORRIGER,Le club n'existe pas
M 16 3eme Division 77,32425,s-3121,CHATELET-EN-BRIE 1,CHATELET-EN-BRIE,UNION SPORTIVE DU CHATELET-EN-BRIE,c0be7bad-b2f1-4ded-b07a-2911c677744c,CONFIRMER_OU_CORRIGER,c0be7bad-b2f1-4ded-b07a-2911c677744c
M 16 3eme Division 77,32425,s-3114,CHATELET-EN-BRIE 1,CHATELET-EN-BRIE,UNION SPORTIVE DU CHATELET-EN-BRIE,c0be7bad-b2f1-4ded-b07a-2911c677744c,CONFIRMER_OU_CORRIGER,c0be7bad-b2f1-4ded-b07a-2911c677744c
M 16 3eme Division 77,32425,s-3123,CHATELET-EN-BRIE 1,CHATELET-EN-BRIE,UNION SPORTIVE DU CHATELET-EN-BRIE,c0be7bad-b2f1-4ded-b07a-2911c677744c,CONFIRMER_OU_CORRIGER,c0be7bad-b2f1-4ded-b07a-2911c677744c
M 16 4eme Division 77,32426,s-3112,CHATELET-EN-BRIE 2,CHATELET-EN-BRIE,UNION SPORTIVE DU CHATELET-EN-BRIE,c0be7bad-b2f1-4ded-b07a-2911c677744c,CONFIRMER_OU_CORRIGER,c0be7bad-b2f1-4ded-b07a-2911c677744c
M 16 4eme Division 77,32426,s-3123,CHATELET-EN-BRIE 2,CHATELET-EN-BRIE,UNION SPORTIVE DU CHATELET-EN-BRIE,c0be7bad-b2f1-4ded-b07a-2911c677744c,CONFIRMER_OU_CORRIGER,c0be7bad-b2f1-4ded-b07a-2911c677744c
U17mpl U17 Masculine Regionale,32316,s-2926,CJ BOUGUENAIS,CJ BOUGUENAIS,CJ BOUGUENAIS HANDBALL,e727c5a2-be98-420b-9e8a-efd9b6d13846,CONFIRMER_OU_CORRIGER,e727c5a2-be98-420b-9e8a-efd9b6d13846
U17mpl U17 Masculine Regionale,32316,s-2927,CJ BOUGUENAIS,CJ BOUGUENAIS,CJ BOUGUENAIS HANDBALL,e727c5a2-be98-420b-9e8a-efd9b6d13846,CONFIRMER_OU_CORRIGER,e727c5a2-be98-420b-9e8a-efd9b6d13846
U17mpl U17 Masculine Regionale,32316,s-3075,CJ BOUGUENAIS,CJ BOUGUENAIS,CJ BOUGUENAIS HANDBALL,e727c5a2-be98-420b-9e8a-efd9b6d13846,CONFIRMER_OU_CORRIGER,e727c5a2-be98-420b-9e8a-efd9b6d13846
